ADM2_NAME,tahun,bulan,probabilitas_risiko_historis,total_hujan_lag2,total_hujan_lag3,max_hth_lag2,max_hth_lag3,kat_value_lag2,kat_value_lag3,hujan_akumulasi_vegetatif,max_hth_vegetatif,rasio_hujan_lag2,rasio_hujan_lag3,rasio_kat_lag2,rasio_kat_lag3,STATUS_PANEN,Prob_Waspada(%),Prob_Kritis(%),FAKTOR_DOMINAN
LAMONGAN,2026,7,0.3333333333333333,114.4558440213511,142.1475039184457,15.0,7.03449694808312,230.5415046978944,260.19605651189903,256.6033479397968,15.0,1.0,0.8180532492600594,0.4864813027493974,0.5201944033809575,✅ AMAN,49.4,0.1,probabilitas_risiko_historis
LUMAJANG,2026,5,0.0476190476190476,372.93437972794,492.6140005054231,6.773718287526424,1.9828224101479912,316.44056025369974,312.0439204545454,865.5483802333631,6.773718287526424,1.147388474453606,1.4728416920507368,0.5172043618872444,0.5096233666454902,✅ AMAN,0.1,0.0,probabilitas_risiko_historis
LUMAJANG,2026,6,0.0476190476190476,203.4745586901966,372.93437972794,8.332584566596193,6.773718287526424,316.1495679175476,316.44056025369974,576.4089384181366,8.332584566596193,1.0297738575927466,1.147388474453606,0.5329498409697155,0.5172043618872444,✅ AMAN,1.5,0.0,probabilitas_risiko_historis
LUMAJANG,2026,7,0.0476190476190476,131.705256905844,203.4745586901966,15.0,8.332584566596193,305.0984817653276,316.1495679175476,335.1798155960406,15.0,1.0,1.0297738575927466,0.5561502362719303,0.5329498409697155,✅ AMAN,0.1,0.1,probabilitas_risiko_historis
MADIUN,2026,5,0.1309523809523809,326.8695534292148,415.7788494095525,2.6978249824358267,0.9436416184971098,246.01328688250248,246.01328688250248,742.6484028387673,2.6978249824358267,1.1189617160286758,1.314155130041466,0.5873312070511715,0.5924560893829645,✅ AMAN,1.1,0.0,probabilitas_risiko_historis
MADIUN,2026,6,0.1309523809523809,220.9681195724937,326.8695534292148,5.530491555627922,2.6978249824358267,246.01328688250248,246.01328688250248,547.8376730017085,5.530491555627922,0.9347793678624952,1.1189617160286758,0.6046253051821981,0.5873312070511715,✅ AMAN,18.8,0.1,probabilitas_risiko_historis
MADIUN,2026,7,0.1309523809523809,149.70088873634285,220.9681195724937,15.0,5.530491555627922,223.9726692115873,246.01328688250248,370.6690083088365,15.0,1.0,0.9347793678624952,0.5965177167691019,0.6046253051821981,✅ AMAN,2.3,0.1,probabilitas_risiko_historis
MAGETAN,2026,5,0.1904761904761904,374.6313645320367,450.68734969437634,2.904608059853766,0.9064784900527122,238.3372895766026,238.3372895766026,825.318714226413,2.904608059853766,1.066068221966154,1.2384283297937455,0.4545420636875705,0.4558222732285265,✅ AMAN,7.7,0.0,probabilitas_risiko_historis
MAGETAN,2026,6,0.1904761904761904,233.98795993237704,374.6313645320367,5.777418806325455,2.904608059853766,238.3372895766026,238.3372895766026,608.6193244644137,5.777418806325455,1.0224524168900322,1.066068221966154,0.4659523042174591,0.4545420636875705,✅ AMAN,27.0,0.1,probabilitas_risiko_historis
MAGETAN,2026,7,0.1904761904761904,166.1829597653724,233.98795993237704,15.0,5.777418806325455,218.20465567080427,238.3372895766026,400.1709196977495,15.0,1.0,1.0224524168900322,0.4565349567714545,0.4659523042174591,✅ AMAN,26.5,0.3,probabilitas_risiko_historis
